"Time (s)"	"Sound pressure level (dB)"
1.616665728E2	-6.836716970E1
1.617751601E2	-6.897920723E1
1.618865897E2	-6.916892155E1
1.619920598E2	-6.934278680E1
1.620976970E2	-6.896170637E1
1.622084511E2	-6.883304539E1
1.623209850E2	-6.935542738E1
1.624281300E2	-6.928911416E1
1.625361191E2	-6.882690470E1
1.626492593E2	-6.892017762E1
1.627596622E2	-6.826477782E1
1.628664370E2	-6.759303784E1
1.629765826E2	-6.488292361E1
1.630881319E2	-6.630681199E1
1.631985184E2	-6.662707362E1
1.633086703E2	-6.884395670E1
1.634204415E2	-6.665581706E1
1.635254312E2	-6.667718240E1
1.636359358E2	-6.779359930E1
1.637474903E2	-6.983733418E1
1.638585688E2	-6.844938652E1
1.639701007E2	-6.941844620E1
1.640786282E2	-6.902469427E1
1.641880603E2	-6.873594147E1
1.642953608E2	-6.851484202E1
1.644068986E2	-6.672902420E1
1.645165843E2	-6.567766628E1
1.646265821E2	-6.684875967E1
1.647386009E2	-6.699126778E1
1.648421202E2	-6.883379448E1
1.649540293E2	-7.024882152E1
1.650638893E2	-6.846547040E1
1.651756319E2	-6.895756523E1
1.652883657E2	-6.489278911E1
1.653961220E2	-6.550701111E1
1.655049427E2	-5.922024586E1
1.656155138E2	-5.997336278E1
1.657255641E2	-5.899977280E1
1.658358091E2	-5.693179102E1
1.659420151E2	-6.379861710E1
1.660469161E2	-6.153668091E1
1.661590575E2	-6.797327398E1
1.662665697E2	-6.744691367E1
1.663755145E2	-6.045035148E1
1.664883578E2	-6.300167658E1
1.665967179E2	-6.252414819E1
1.667077580E2	-6.030246182E1
1.668191445E2	-5.925582357E1
1.669308759E2	-6.005176662E1
1.670421926E2	-6.323443638E1
1.671519037E2	-6.685443542E1
1.672630138E2	-6.930673583E1
1.673754118E2	-6.944037593E1
1.674879295E2	-7.069002531E1
1.675988537E2	-6.721842301E1
1.677165558E2	-6.422963628E1
1.678257035E2	-6.131108730E1
1.679352720E2	-6.083515592E1
1.680422475E2	-5.878313800E1
1.681553124E2	-5.628853520E1
1.682628113E2	-5.917398980E1
1.683761649E2	-5.916962125E1
1.684882866E2	-6.197811261E1
1.685957875E2	-6.562695711E1
1.687073560E2	-6.282555955E1
1.688193438E2	-6.325249785E1
1.689256467E2	-6.354469118E1
1.690310046E2	-6.324709568E1
1.691422530E2	-5.951572450E1
1.692471395E2	-6.045225619E1
1.693565663E2	-5.990170003E1
1.694682354E2	-6.474208701E1
1.695757864E2	-6.057839198E1
1.696882780E2	-5.497405314E1
1.697970969E2	-5.975618622E1
1.699070414E2	-6.378107539E1
1.700185366E2	-5.234640359E1
1.701285273E2	-5.443741653E1
1.702389948E2	-6.055977752E1
1.703490625E2	-5.777915483E1
1.704591555E2	-6.364301761E1
1.705671631E2	-6.214311198E1
1.706758278E2	-6.193664799E1
1.707879572E2	-5.541209719E1
1.708934744E2	-5.794135140E1
1.710047825E2	-5.455833627E1
1.711090110E2	-5.354170319E1
1.712167403E2	-5.188270221E1
1.713200839E2	-6.138768024E1
1.714438773E2	-6.700555627E1
1.715558427E2	-6.691672446E1
1.716591307E2	-6.596623622E1
1.717637848E2	-6.269004103E1
1.718759110E2	-6.976295057E1
1.719865796E2	-6.647478822E1
1.720925260E2	-6.745574476E1
1.722040388E2	-5.650230024E1
1.723092608E2	-6.030418927E1
1.724188445E2	-6.592588017E1
1.725258216E2	-6.963810548E1
1.726368637E2	-6.173334125E1
1.727425598E2	-6.213913038E1
1.728553210E2	-6.920279525E1
1.729591531E2	-6.963018293E1
1.730782001E2	-6.749034981E1
1.732054505E2	-6.755314125E1
1.733104952E2	-6.718436652E1
1.734213515E2	-6.871241353E1
1.735333751E2	-6.980269734E1
1.736442783E2	-6.959774056E1
1.737564263E2	-6.915291665E1
1.738604688E2	-6.896739974E1
1.739736471E2	-5.705980932E1
1.740778039E2	-5.478019647E1
1.741815476E2	-6.702509275E1
1.742969758E2	-6.438561207E1
1.744070558E2	-6.588257977E1
1.745111731E2	-6.514429291E1
1.746295317E2	-5.277934046E1
1.747389109E2	-5.393398829E1
1.748427649E2	-6.173385969E1
1.749474057E2	-6.652454623E1
1.750598782E2	-6.093026088E1
1.751665271E2	-6.571037905E1
1.752761335E2	-6.789144973E1
1.753865714E2	-6.661302317E1
1.754929390E2	-6.721055088E1
