"Time (s)"	"Sound pressure level (dB)"
2.914931000E1	-4.603267152E1
2.926162708E1	-4.534001288E1
2.936893488E1	-4.431248696E1
2.947478271E1	-4.509364206E1
2.958550937E1	-4.403524698E1
2.969485754E1	-4.403696299E1
2.980489650E1	-4.606032964E1
2.991824338E1	-4.514856993E1
3.003193796E1	-4.537836145E1
3.013581642E1	-4.442081239E1
3.024786621E1	-4.492927668E1
3.035232337E1	-4.777472803E1
3.046413000E1	-4.603761820E1
3.056907950E1	-4.551720641E1
3.067488887E1	-4.437963722E1
3.078577758E1	-4.415148738E1
3.089199792E1	-4.549520058E1
3.100240346E1	-4.524180420E1
3.112571238E1	-4.676794439E1
3.123579554E1	-4.997663746E1
3.134863708E1	-4.734741935E1
3.145290038E1	NaN
3.156184000E1	-4.415574971E1
3.166901467E1	-4.478427697E1
3.177956308E1	-4.400725585E1
3.188628883E1	-4.558817845E1
3.198942429E1	-4.228444866E1
3.210366212E1	-4.358818045E1
3.220695329E1	-4.265062577E1
3.232730283E1	-4.462482527E1
3.244094496E1	-4.400011559E1
3.255232025E1	-4.494921937E1
3.266219446E1	-4.481815001E1
3.276909121E1	-4.483288191E1
3.288115033E1	-4.306241352E1
3.298560279E1	-4.494620281E1
3.309478308E1	-4.480915813E1
3.320342637E1	-4.679870808E1
3.331046962E1	-4.562358472E1
3.341903000E1	-4.825276567E1
3.353102337E1	-4.760733906E1
3.363790967E1	-4.829489774E1
3.374645167E1	-4.770367701E1
3.385267233E1	-4.784230930E1
3.396388783E1	-4.721258239E1
3.407101092E1	-4.906128945E1
3.417501254E1	-4.846140489E1
3.429567867E1	-4.712637815E1
3.440376912E1	-4.818529361E1
3.451485796E1	-4.463495400E1
3.462687892E1	-4.339985218E1
3.473728462E1	-4.269833440E1
3.484861983E1	-4.258049727E1
3.495769521E1	-4.258323453E1
3.506919525E1	-4.535516627E1
3.517434954E1	-4.271472485E1
3.528211362E1	-4.655924880E1
3.538798496E1	-4.588454168E1
3.549946279E1	-4.502656906E1
3.560741733E1	-4.540297457E1
3.571851846E1	-4.415682433E1
3.583210838E1	-4.489492998E1
3.593602913E1	-4.461808553E1
3.604480908E1	-4.467898170E1
3.616614896E1	-4.576715657E1
3.627694604E1	-4.864895156E1
3.638592192E1	-4.885056048E1
3.649704050E1	-4.979776809E1
3.660402000E1	-4.701201406E1
3.671537050E1	-4.710840749E1
3.682433896E1	-4.745766330E1
3.693601683E1	-4.717240167E1
3.704284154E1	-4.897852003E1
3.715246046E1	-4.747184356E1
3.726352950E1	-4.749373809E1
3.737796892E1	-4.724465464E1
3.749802367E1	-4.987226551E1
3.760618496E1	-4.602295069E1
3.771486096E1	-4.873457541E1
3.782484683E1	-4.692764886E1
3.793600688E1	-4.934387005E1
3.804815279E1	-4.734296228E1
3.815467687E1	-4.788081253E1
3.826487417E1	-4.786477975E1
3.837714217E1	-4.733084891E1
3.848626454E1	-4.659355874E1
3.859386492E1	-4.757744206E1
3.870270771E1	-4.837705534E1
3.880637942E1	-4.741659825E1
3.891465767E1	-4.781447784E1
3.902598637E1	-4.669331725E1
3.913613183E1	-4.838026164E1
3.924680962E1	-4.929245411E1
3.935935500E1	-4.700043338E1
3.946955608E1	-4.625945911E1
3.957984946E1	-4.532111657E1
3.969921346E1	-4.677829193E1
3.980444929E1	-4.592012261E1
3.990804667E1	-4.429618131E1
4.002553425E1	-4.335948030E1
4.013607158E1	-4.369902478E1
4.024485004E1	-4.713402376E1
4.035682671E1	-4.482508752E1
4.046486533E1	-4.398335390E1
4.057434000E1	-4.629976958E1
4.068464121E1	-4.590119278E1
4.079757079E1	-4.496491762E1
4.090786871E1	-4.522006394E1
4.101956892E1	-4.440886166E1
4.112727067E1	-4.617318468E1
4.123605137E1	-4.705869509E1
4.134768429E1	-4.806225546E1
4.145283337E1	-4.614143867E1
4.156392004E1	-4.859389978E1
4.167194129E1	-4.921099965E1
4.177406587E1	-4.891700173E1
4.188048529E1	-5.039109970E1
4.199373146E1	-4.861219425E1
4.211696704E1	-4.709996202E1
4.222490996E1	-4.863633290E1
4.233632462E1	-4.880290986E1
4.244473983E1	-4.683795087E1
4.255491746E1	-4.711471437E1
4.266590133E1	-4.620326846E1
4.277629354E1	-4.812968995E1
4.288774242E1	-4.716180606E1
4.299627958E1	-4.702646381E1
4.311767637E1	-4.776094457E1
4.322246812E1	-4.606852381E1
4.332536588E1	-4.763858172E1
4.343842496E1	-4.798860115E1
4.354782042E1	-4.752419781E1
4.365811071E1	-4.606724420E1
4.376986629E1	-4.605600056E1
4.388200929E1	-4.460734222E1
4.398646046E1	-4.408996751E1
4.409799671E1	-4.356372259E1
4.420309988E1	-4.275694371E1
4.431470850E1	-4.557943477E1
4.442543708E1	-4.298594117E1
4.454612317E1	-4.059362119E1
4.465049204E1	-3.994299131E1
4.477007725E1	-4.050609519E1
4.487991488E1	-4.063344798E1
4.498947571E1	-4.176901700E1
4.510237029E1	-4.236766762E1
4.521624437E1	-4.252217380E1
4.531986742E1	-4.233219607E1
4.542514700E1	-4.383658979E1
4.553668450E1	-4.368981541E1
4.564642104E1	-4.455671508E1
4.576837054E1	-4.481490243E1
4.587474133E1	-4.364801998E1
4.598748412E1	-4.497134166E1
4.609485929E1	-4.480489764E1
4.620354762E1	-4.471955806E1
4.631486754E1	-4.418888250E1
4.642871346E1	-4.424024919E1
4.653651212E1	-4.287602619E1
4.664486121E1	-4.287240541E1
4.675550567E1	-4.248920937E1
4.686624862E1	-4.241968462E1
4.697147137E1	-4.238532512E1
4.708283817E1	-4.245920075E1
4.718988583E1	-4.267447378E1
4.729950746E1	-4.330183123E1
4.740697971E1	-4.384438851E1
4.752048033E1	-4.238743631E1
4.763030475E1	-4.321157834E1
4.774106208E1	-4.514423144E1
4.785215075E1	-4.455967974E1
4.796059317E1	-4.353515117E1
4.807004917E1	-4.340383020E1
4.818287475E1	-4.475178410E1
4.830343096E1	-4.276913795E1
4.841478858E1	-4.293119435E1
4.852511917E1	-4.376392233E1
4.863295171E1	-4.347108818E1
4.874561100E1	-4.356868453E1
4.885438583E1	-4.168215077E1
4.896486546E1	-4.307575113E1
4.907623454E1	-4.252557693E1
4.918693917E1	-4.254674954E1
4.929618996E1	-4.228182879E1
4.941726225E1	-4.231306460E1
4.952512608E1	-4.240245813E1
4.962904813E1	-4.254996302E1
4.974542212E1	-4.277571855E1
4.985738854E1	-4.244534683E1
4.996906775E1	-4.316712772E1
5.007484808E1	-4.304091489E1
5.018701712E1	-4.343921490E1
5.029899262E1	-4.418505400E1
5.040344371E1	-4.448231441E1
5.051532500E1	-4.425719533E1
5.062017983E1	-4.419479169E1
5.073209729E1	-4.386684635E1
5.084232754E1	-4.392466706E1
5.095338396E1	-4.468208656E1
5.106545421E1	-4.444489807E1
5.117540700E1	-4.392632102E1
5.129681842E1	-4.341368714E1
5.140573217E1	-4.329176828E1
5.151504633E1	-4.341286350E1
5.162502896E1	-4.388066380E1
5.173300167E1	-4.249739601E1
5.184664342E1	-4.402200054E1
5.195510129E1	-4.310892615E1
5.206716458E1	-4.295325538E1
5.217768467E1	-4.171473454E1
5.228791850E1	-4.271708581E1
5.239745813E1	-4.330155989E1
5.250417329E1	-4.237042470E1
5.261503454E1	-4.248158885E1
5.272481562E1	-4.283568508E1
5.283506217E1	-4.338819431E1
5.294674617E1	-4.319343284E1
5.305378263E1	-4.154653601E1
5.316352071E1	-4.268942362E1
5.327192363E1	-4.296891415E1
5.338248842E1	-4.192968426E1
5.348726583E1	-4.363640436E1
5.359591733E1	-4.335140656E1
5.370665000E1	-4.405296617E1
5.381873937E1	-4.438182061E1
5.394170854E1	-4.383901312E1
5.404544642E1	-4.568665233E1
5.416031142E1	-4.437552421E1
5.426422729E1	-4.419724364E1
5.437520475E1	-4.561444977E1
5.448775642E1	-4.858279450E1
5.460886258E1	-4.849214432E1
5.471290212E1	-4.780377926E1
5.482862421E1	-4.721663168E1
5.493281504E1	-4.639953697E1
5.505356129E1	-4.446520343E1
5.516334858E1	-4.199300306E1
5.527067321E1	-4.195248123E1
5.538014950E1	-4.247512924E1
5.548736512E1	-4.299516208E1
5.559990767E1	-4.259039498E1
5.570413333E1	-4.326211088E1
5.581601808E1	-4.295736896E1
5.592449304E1	-4.135352805E1
5.603140604E1	-4.156007650E1
5.614078346E1	-4.144466884E1
5.625257425E1	-4.109453104E1
5.636397637E1	-4.139987230E1
5.647068025E1	-4.314812930E1
5.658231604E1	-4.206777924E1
5.670613608E1	-4.409678401E1
5.681348367E1	-4.319606209E1
5.692076329E1	-4.254738364E1
5.703158879E1	-4.436933232E1
5.714632125E1	-4.687489108E1
5.725409896E1	-4.761342932E1
5.736382313E1	-4.701736119E1
5.747765208E1	-4.565133791E1
5.758732229E1	-4.544396809E1
5.769878592E1	-4.594233624E1
5.780543563E1	-4.624309876E1
5.790851054E1	-4.579478835E1
5.802749825E1	-4.549692490E1
5.813757283E1	-4.551027696E1
5.824886108E1	-4.373878891E1
5.835636575E1	-4.225754944E1
5.845968679E1	-4.302589644E1
5.858103467E1	-4.296678971E1
5.869532358E1	-4.178857395E1
5.880460787E1	-4.101637099E1
5.891611337E1	-4.321246955E1
5.902773296E1	-4.450443304E1
5.913768637E1	-4.394966494E1
5.924477879E1	-4.252934205E1
5.935482475E1	-4.342269488E1
5.946502792E1	-4.370476738E1
5.957525600E1	-4.166928869E1
5.968648400E1	-4.185413130E1
5.979973904E1	-4.439191081E1
5.990420917E1	-4.456389652E1
6.001485650E1	-4.427045419E1
6.012097325E1	-4.535054765E1
6.023065863E1	-4.505668771E1
6.035443946E1	-4.460530502E1
