"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.306675833E0	-3.452506755E-4	-1.843155207E-2	-1.712667006E-1	1.722559841E-1
1.316715833E0	2.798374628E-3	-1.698318304E-2	-1.756070888E-1	1.764486017E-1
1.326755833E0	-4.125941545E-4	-1.050790334E-3	-1.730617958E-1	1.730654777E-1
1.336796833E0	1.302234312E-3	-4.328574976E-3	-1.682705873E-1	1.683312892E-1
1.346836833E0	2.506934325E-3	-1.194795378E-2	-1.705147487E-1	1.709512148E-1
1.356846833E0	-2.632683723E-3	-5.077438848E-4	-1.622812843E-1	1.623034321E-1
1.366886833E0	-4.488489472E-3	4.896111209E-3	-1.622801149E-1	1.624159910E-1
1.376926833E0	-1.320959106E-3	-1.390298861E-3	-1.607832277E-1	1.607946646E-1
1.386967833E0	-1.590693905E-4	4.184057387E-3	-1.633291054E-1	1.633827662E-1
1.397007833E0	-6.824659975E-3	8.904423220E-3	-1.735085231E-1	1.738708496E-1
1.407047833E0	-1.040468628E-3	4.393241527E-3	-1.717116737E-1	1.717710163E-1
1.417057833E0	-4.060322538E-3	3.797803111E-3	-1.627303505E-1	1.628252944E-1
1.427097833E0	-4.784749160E-3	-1.047300277E-3	-1.607855666E-1	1.608601538E-1
1.437134542E0	2.428887701E-3	-1.481766673E-4	-1.524035829E-1	1.524230086E-1
1.447175542E0	-5.230882578E-4	-7.443692819E-3	-1.615334255E-1	1.617056886E-1
1.457215542E0	8.216900295E-3	-1.866189125E-2	-1.757538539E-1	1.769327579E-1
1.467225542E0	4.886945242E-3	-1.258973595E-2	-1.697663051E-1	1.703026190E-1
1.477265542E0	6.884027487E-3	1.816999423E-3	-1.606352931E-1	1.607929996E-1
1.487305542E0	2.331520140E-3	4.186560726E-3	-1.603359157E-1	1.604075096E-1
1.497346542E0	-2.110113949E-4	3.524112306E-3	-1.571918678E-1	1.572315083E-1
1.507386542E0	8.069733186E-3	5.393234175E-4	-1.640775490E-1	1.642767590E-1
1.517396542E0	9.044409217E-4	-1.522715455E-3	-1.639284450E-1	1.639380119E-1
1.527436542E0	4.010182663E-3	9.323106701E-3	-1.639284450E-1	1.642423117E-1
1.537476542E0	-4.811095891E-3	-5.842332314E-3	-1.616836989E-1	1.618607364E-1
1.547517542E0	-7.646214331E-3	-1.397293136E-2	-1.580917543E-1	1.588921338E-1
1.557557542E0	-4.644692356E-3	-5.083683492E-3	-1.696172011E-1	1.697569201E-1
1.567597542E0	-1.005990612E-3	-6.696153707E-3	-1.711140883E-1	1.712480123E-1
1.577607542E0	6.783147028E-3	-6.991214259E-3	-1.708135414E-1	1.710910696E-1
1.587647542E0	3.807923819E-3	-4.566090703E-3	-1.646763039E-1	1.647835991E-1
1.597687542E0	-5.984579539E-4	4.605970541E-3	-1.471633083E-1	1.472365865E-1
1.607728542E0	-4.849470528E-3	3.803115855E-3	-1.453658742E-1	1.454964550E-1
1.617768542E0	-6.845986324E-3	7.811066983E-3	-1.619824916E-1	1.623151499E-1
1.627778542E0	7.104138611E-4	1.103258588E-2	-1.664737380E-1	1.668404270E-1
1.637818542E0	-1.010781446E-2	3.526757257E-3	-1.675227284E-1	1.678644408E-1
1.647858542E0	-8.125893865E-3	1.006425042E-2	-1.601885659E-1	1.607099745E-1
1.657899542E0	4.222875133E-3	-3.414719123E-3	-1.633320290E-1	1.634222894E-1
1.667939542E0	3.705924167E-3	-2.206794005E-3	-1.696183705E-1	1.696732019E-1
1.677979542E0	-4.531212975E-3	-8.707175623E-3	-1.624333119E-1	1.627296151E-1
1.687989542E0	-6.806860229E-3	-1.592317421E-2	-1.477632326E-1	1.487745063E-1
1.698029542E0	-1.064124727E-4	-1.213803397E-2	-1.751556838E-1	1.755757863E-1
1.708069542E0	8.734463390E-3	-1.314450424E-2	-1.941649818E-1	1.948053105E-1
1.718110542E0	1.340280042E-3	-5.448271092E-3	-1.610837746E-1	1.611814581E-1
1.728150542E0	-4.798661422E-3	3.649050859E-3	-1.503061867E-1	1.504270337E-1
1.738160542E0	-1.953447398E-3	-9.052038006E-4	-1.622818691E-1	1.622961502E-1
1.748200542E0	8.522056430E-3	-3.833315810E-3	-1.640787184E-1	1.643445941E-1
1.758240542E0	6.111304234E-3	-3.404783425E-3	-1.676712477E-1	1.678171264E-1
1.768281542E0	8.937341217E-3	7.893183818E-3	-1.769519484E-1	1.773532364E-1
1.778321542E0	1.845056922E-3	8.279849226E-3	-1.565954518E-1	1.568250480E-1
1.788331542E0	-2.724772801E-3	4.318246418E-3	-1.567451406E-1	1.568282842E-1
1.798371542E0	1.882095379E-3	-5.856306246E-4	-1.565960366E-1	1.566084414E-1
1.808411542E0	-8.521494549E-4	-2.958407896E-3	-1.607879055E-1	1.608173774E-1
1.818452542E0	-1.270223090E-3	3.005948500E-3	-1.664766616E-1	1.665086425E-1
1.828492542E0	-2.577043811E-3	3.362199250E-3	-1.579449892E-1	1.580017884E-1
1.838532542E0	-3.711785087E-3	-3.065676894E-3	-1.667766237E-1	1.668460906E-1
1.848542542E0	-7.577527820E-3	-1.579661854E-3	-1.597406691E-1	1.599280952E-1
1.858582542E0	1.234883980E-3	-5.975566604E-3	-1.612363869E-1	1.613518044E-1
1.868622542E0	-3.299547248E-3	-1.775178127E-4	-1.690202004E-1	1.690524968E-1
1.878663542E0	2.895797007E-3	9.093484716E-3	-1.688710964E-1	1.691405460E-1
1.888703542E0	-1.740298115E-3	7.520474070E-3	-1.576444423E-1	1.578333183E-1
1.898713542E0	4.755602160E-3	-5.084880344E-3	-1.651282936E-1	1.652749985E-1
1.908753542E0	1.052068499E-2	-5.798994396E-3	-1.723121828E-1	1.727304301E-1
1.918793542E0	5.217520776E-3	-2.487944579E-3	-1.628823781E-1	1.629849118E-1
1.928834542E0	-2.837313430E-3	2.366418424E-3	-1.558475929E-1	1.558913805E-1
1.938874542E0	4.359327676E-4	7.591193402E-4	-1.539016396E-1	1.539041291E-1
1.948884542E0	2.103401071E-3	6.188163143E-3	-1.576444423E-1	1.577798715E-1
1.958924542E0	-8.870934206E-4	1.259266413E-3	-1.598897731E-1	1.598971927E-1
1.968964542E0	6.094954871E-3	6.344201574E-3	-1.615351796E-1	1.617745704E-1
1.979005542E0	-1.488493255E-3	4.628788386E-3	-1.754550612E-1	1.755224196E-1
1.989045542E0	-7.030858838E-3	3.958427953E-3	-1.603370851E-1	1.605399732E-1
1.999085542E0	-6.952158969E-3	1.204526424E-3	-1.549488759E-1	1.551094373E-1
2.009095542E0	-6.817216196E-3	2.728100689E-3	-1.507575917E-1	1.509363059E-1
2.019135542E0	-2.960235151E-3	-6.962142633E-3	-1.603376698E-1	1.605160515E-1
2.029175542E0	-3.834334505E-4	-4.224279835E-3	-1.595886415E-1	1.596450001E-1
2.039216542E0	-4.129075287E-3	-7.233855436E-3	-1.652762282E-1	1.654859799E-1
2.049256542E0	2.438540175E-3	-1.777160699E-3	-1.567433864E-1	1.567724273E-1
2.059266542E0	-1.842628957E-3	-2.077310155E-3	-1.589893019E-1	1.590135486E-1
2.069306542E0	-1.449385432E-3	-6.037263866E-3	-1.733588344E-1	1.734699822E-1
2.079346542E0	7.299038186E-3	-3.369288999E-3	-1.553961879E-1	1.556039951E-1
2.089387542E0	1.193018830E-2	3.236570908E-3	-1.556961501E-1	1.561860939E-1
2.099427542E0	-4.059886280E-4	-4.701435473E-4	-1.606358778E-1	1.606370789E-1
2.109467542E0	-7.198045808E-3	-3.230303423E-3	-1.699159938E-1	1.700990643E-1
2.119477542E0	-9.378956747E-4	-5.825393661E-3	-1.762029201E-1	1.763016843E-1
2.129517542E0	-3.081886929E-3	-4.788303170E-3	-1.512043190E-1	1.513115064E-1
2.139558542E0	1.227465326E-3	-3.342218217E-3	-1.471627235E-1	1.472057889E-1
2.149598542E0	-2.092206851E-6	2.972760983E-4	-1.555452919E-1	1.555455760E-1
2.159638542E0	-4.052122731E-3	-5.906135486E-3	-1.612340480E-1	1.613930617E-1
2.169648542E0	-2.854194981E-4	6.811873759E-3	-1.601856422E-1	1.603306679E-1
2.179688542E0	-2.870939488E-3	1.003236939E-2	-1.559937733E-1	1.563424064E-1
2.189728542E0	5.120635154E-3	7.259322801E-3	-1.464142799E-1	1.466835371E-1
2.199769542E0	8.115455671E-4	1.957305190E-3	-1.550956410E-1	1.551101142E-1
2.209809542E0	-8.486778990E-3	-5.823593815E-3	-1.666228420E-1	1.669404418E-1
2.219819542E0	-2.361048579E-3	-2.615317949E-3	-1.661737758E-1	1.662111254E-1
2.229859542E0	-3.497450373E-3	-2.427371079E-3	-1.510546303E-1	1.511146109E-1
2.239899542E0	-1.670430740E-3	-3.790964610E-3	-1.585390663E-1	1.585931818E-1
2.249940542E0	-4.572310222E-3	-1.722845090E-2	-1.658732289E-1	1.668282159E-1
2.259980542E0	-3.542528751E-3	-1.175459367E-2	-1.639255214E-1	1.643845995E-1
2.270020542E0	-7.066314435E-3	1.026149802E-3	-1.464107716E-1	1.465847872E-1
2.280030542E0	1.278852301E-3	-2.158380887E-3	-1.461113942E-1	1.461329312E-1
2.290070542E0	4.173500421E-3	-1.257302114E-3	-1.580864918E-1	1.581465707E-1
2.300111542E0	-5.065070617E-3	3.834206597E-3	-1.603318226E-1	1.604576250E-1
2.310151542E0	1.185787925E-3	-8.250604011E-4	-1.633255970E-1	1.633319854E-1
2.320191542E0	7.659797687E-3	-4.633365660E-3	-1.492554420E-1	1.495236689E-1
2.330201542E0	3.139509412E-3	-5.905998442E-3	-1.535969996E-1	1.537425629E-1
2.340241542E0	4.417840946E-3	-2.581404098E-3	-1.622795302E-1	1.623601764E-1
2.350281542E0	6.915241568E-3	-1.977546606E-3	-1.660211635E-1	1.661768876E-1
2.360322542E0	-1.603030160E-3	-2.962939488E-3	-1.672180885E-1	1.672520189E-1
2.370362542E0	-9.113479452E-4	-2.386349207E-4	-1.609311622E-1	1.609339196E-1
2.380372542E0	-4.625465067E-3	2.495893138E-3	-1.577876991E-1	1.578752115E-1
2.390412542E0	-5.932840817E-3	-5.017842930E-3	-1.586858314E-1	1.588759593E-1
2.400452542E0	-5.373346789E-3	-6.123016938E-3	-1.576385951E-1	1.578489495E-1
2.410493542E0	-9.078126638E-3	-7.222727453E-4	-1.624286342E-1	1.626837277E-1
2.420533542E0	-7.346638176E-3	2.778327358E-3	-1.657223707E-1	1.659083975E-1
2.430573542E0	-4.572591162E-4	-7.511424590E-3	-1.586870009E-1	1.588653355E-1
2.440561083E0	6.612780634E-3	-1.704970426E-2	-1.564422548E-1	1.575074613E-1
2.450601083E0	3.583093809E-3	-4.192677462E-3	-1.513522536E-1	1.514527047E-1
2.460641083E0	8.664614288E-4	-1.236270867E-2	-1.559920192E-1	1.564835371E-1
2.470682083E0	7.562505500E-4	-1.447372254E-2	-1.498547816E-1	1.505540306E-1
2.480722083E0	9.495261521E-4	-6.415523901E-3	-1.579373878E-1	1.580704875E-1
