"Time (s)"	"Sound pressure level (dB)"
2.863644283E1	-7.091800352E1
2.874841758E1	-7.176969982E1
2.885771708E1	-7.107569352E1
2.896775837E1	-7.062478408E1
2.907858429E1	-6.843183404E1
2.918721308E1	-7.137134712E1
2.929860371E1	-6.970682029E1
2.941033862E1	-6.953217909E1
2.952195163E1	-7.271088783E1
2.962799942E1	-7.056219130E1
2.973534954E1	-6.841635704E1
2.984210475E1	-7.055873633E1
2.994622158E1	-6.822216880E1
3.007052900E1	-7.000636133E1
3.017427475E1	-7.033267807E1
3.027769692E1	-7.027368260E1
3.038918104E1	-6.942536665E1
3.049281879E1	-6.969387915E1
3.060401087E1	-7.221433543E1
3.071266283E1	-7.174169285E1
3.082434392E1	-7.211887736E1
3.093016300E1	-7.001391109E1
3.104111771E1	-7.019828990E1
3.114780167E1	-7.129160601E1
3.125787042E1	-7.065532151E1
3.136780142E1	-6.962551608E1
3.147444492E1	-7.095376789E1
3.158646350E1	-6.952034843E1
3.169464521E1	-6.951368802E1
3.180391946E1	-6.865237320E1
3.190880033E1	-6.963998459E1
3.201276254E1	-6.959234775E1
3.213151788E1	-6.867659322E1
3.224115233E1	-6.979245154E1
3.234814167E1	-7.045913676E1
3.245209042E1	-6.955647096E1
3.256628967E1	-7.022721520E1
3.268737504E1	-6.835659121E1
3.279746433E1	-6.869874068E1
3.290795037E1	-7.051292659E1
3.301551817E1	-7.104036647E1
3.312461654E1	-7.200704758E1
3.323549883E1	-6.986629641E1
3.334838287E1	-6.980897889E1
3.346980975E1	-7.079144460E1
3.358048692E1	-6.928521357E1
3.369130879E1	-6.985532932E1
3.379770658E1	-7.055381717E1
3.390802087E1	-6.955399649E1
3.401787783E1	-7.050638835E1
3.412709387E1	-6.988385418E1
3.423829496E1	-6.970177073E1
3.434676296E1	-6.991715985E1
3.445794279E1	-6.980812100E1
3.456691808E1	-7.024741889E1
3.467468837E1	-7.049453784E1
3.477950125E1	-7.174212582E1
3.488338538E1	-6.950149040E1
3.500482954E1	-7.029111494E1
3.511333621E1	-6.935741052E1
3.521716654E1	-6.771259283E1
3.533324700E1	-6.714853756E1
3.544185171E1	-7.048022983E1
3.555570979E1	-6.858989700E1
3.566770475E1	-6.932423794E1
3.577472621E1	-6.904361079E1
3.588055662E1	NaN
3.599189521E1	-6.960435100E1
3.610419396E1	-7.014130030E1
3.620813346E1	-6.965143930E1
3.631992350E1	-6.974916338E1
3.643006421E1	-7.077311409E1
3.654154279E1	-7.114516155E1
3.664842075E1	-7.028296393E1
3.675246304E1	-6.960385324E1
3.686605542E1	-6.970289213E1
3.698978137E1	-7.148195523E1
3.710165687E1	-7.064554876E1
3.721067771E1	-7.006670593E1
3.732209317E1	-7.067351241E1
3.742857483E1	-6.853409670E1
3.753976854E1	-6.964121958E1
3.764821946E1	-6.996747992E1
3.775811529E1	-6.805271118E1
3.786930025E1	-7.053463347E1
3.797851379E1	-7.149379507E1
3.809013904E1	-6.893287599E1
3.820314829E1	-6.853539176E1
3.832499142E1	-7.043185907E1
