"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.230236292E0	1.350205748E-3	-5.231586071E-3	-1.692453182E-1	1.693315395E-1
1.240276292E0	4.754541210E-3	-8.534842646E-3	-1.683483553E-1	1.686316042E-1
1.250316292E0	3.874403920E-3	1.420599315E-3	-1.608633345E-1	1.609162562E-1
1.260357292E0	-5.016465636E-4	8.806637675E-4	-1.623608065E-1	1.623639698E-1
1.270367292E0	-6.274552328E-3	1.720168618E-3	-1.686483175E-1	1.687737656E-1
1.280407292E0	-3.146826140E-3	1.006150497E-3	-1.717906111E-1	1.718223761E-1
1.290447292E0	-8.743828643E-4	-2.259647353E-3	-1.683471859E-1	1.683646208E-1
1.300487292E0	2.228369603E-3	-8.066654261E-3	-1.628087032E-1	1.630236497E-1
1.310528292E0	-7.608184018E-4	-5.978768868E-3	-1.711912715E-1	1.712973321E-1
1.320568292E0	-3.922783920E-3	4.620058676E-3	-1.693961763E-1	1.695045655E-1
1.330578292E0	3.019262621E-3	6.348769711E-3	-1.553248519E-1	1.554838655E-1
1.340618292E0	-3.880454704E-3	1.184262168E-3	-1.650540340E-1	1.651038902E-1
1.350658292E0	-5.709656478E-3	4.015282989E-3	-1.580180794E-1	1.581721723E-1
1.360699292E0	3.822355136E-3	-4.986213148E-4	-1.596646553E-1	1.597111805E-1
1.370739292E0	2.871531062E-3	-4.279896906E-3	-1.672981954E-1	1.673775653E-1
1.380779292E0	5.348482418E-3	4.589927243E-3	-1.716397530E-1	1.717843954E-1
1.390789292E0	-1.825757113E-3	8.588499986E-3	-1.696943843E-1	1.699213930E-1
1.400829292E0	-5.416262154E-3	-1.167515377E-3	-1.675975728E-1	1.676891332E-1
1.410869292E0	-2.504543762E-3	7.689819485E-4	-1.655007613E-1	1.655214973E-1
1.420910292E0	4.187660790E-3	4.708415587E-3	-1.611586189E-1	1.612817601E-1
1.430950292E0	9.525779533E-4	-1.062167737E-2	-1.593617696E-1	1.597181925E-1
1.440990292E0	1.288818264E-3	-2.870398164E-3	-1.563679951E-1	1.563996488E-1
1.450969875E0	5.055681381E-3	-1.746627269E-3	-1.607083833E-1	1.607973728E-1
1.461009875E0	9.051788472E-3	-1.314910892E-3	-1.586121565E-1	1.588756748E-1
1.471050875E0	1.260217956E-2	-4.129760507E-3	-1.641500545E-1	1.646848816E-1
1.481090875E0	2.020303229E-3	-6.985494951E-3	-1.617544502E-1	1.619178215E-1
1.491130875E0	-2.703015906E-3	-3.098192895E-3	-1.629519600E-1	1.630038231E-1
1.501171875E0	-3.008477820E-3	-4.827333335E-3	-1.509762776E-1	1.510833892E-1
1.511180875E0	-6.827291222E-3	-3.603474554E-3	-1.593594307E-1	1.595463101E-1
1.521221875E0	-8.183723627E-4	-6.266570650E-3	-1.668438667E-1	1.669635155E-1
1.531261875E0	1.839925762E-4	-1.846559839E-3	-1.593600154E-1	1.593708196E-1
1.541301875E0	2.587967369E-3	-3.970789332E-3	-1.499296260E-1	1.500045249E-1
1.551341875E0	-3.834752204E-3	-5.286522489E-3	-1.524743342E-1	1.526141384E-1
1.561351875E0	-4.087307095E-3	-5.267144451E-3	-1.571135151E-1	1.572549062E-1
1.571391875E0	-3.658244520E-3	-1.176768595E-2	-1.651961213E-1	1.656551227E-1
1.581432875E0	4.520278282E-3	-5.666463599E-3	-1.524737495E-1	1.526459499E-1
1.591472875E0	3.929824276E-3	-2.823985890E-3	-1.560674483E-1	1.561424568E-1
1.601512875E0	-1.358015835E-3	-1.229584484E-2	-1.551693159E-1	1.556616479E-1
1.611553875E0	-8.469546263E-4	-5.407066494E-3	-1.581642598E-1	1.582589232E-1
1.621562875E0	-3.336157156E-3	-3.330720216E-3	-1.562194759E-1	1.562905892E-1
1.631603875E0	-1.720817294E-5	-7.010464389E-3	-1.589144576E-1	1.590690156E-1
1.641643875E0	1.184212603E-2	-6.712777158E-3	-1.572672969E-1	1.578553135E-1
1.651683875E0	1.942389937E-3	-3.401745614E-3	-1.536753523E-1	1.537252701E-1
1.661723875E0	2.107534379E-3	9.551974945E-5	-1.551722395E-1	1.551865804E-1
1.671764875E0	7.450865937E-4	-1.506589931E-3	-1.577175325E-1	1.577264880E-1
1.681774875E0	4.191064053E-3	-5.645696847E-3	-1.664000630E-1	1.665485511E-1
1.691814875E0	6.793404780E-3	-1.165349166E-2	-1.572702205E-1	1.578476369E-1
1.701854875E0	4.949467052E-3	-4.049946014E-3	-1.613129854E-1	1.614397056E-1
1.711894875E0	6.254896775E-3	-6.042613154E-3	-1.491887838E-1	1.494420627E-1
1.721935875E0	1.763028310E-3	-4.293994177E-3	-1.541290963E-1	1.541989785E-1
1.731975875E0	3.131257358E-3	-1.948438436E-3	-1.566738045E-1	1.567172046E-1
1.741985875E0	3.956115904E-3	4.751538802E-3	-1.641576558E-1	1.642740513E-1
1.752025875E0	-7.911676780E-4	4.077336565E-4	-1.622117025E-1	1.622141443E-1
1.762065875E0	2.756745765E-3	-2.392059378E-3	-1.584700692E-1	1.585120955E-1
1.772106875E0	6.956556943E-3	-2.506162310E-3	-1.610159469E-1	1.611856373E-1
1.782146875E0	1.006776046E-3	-3.642934123E-3	-1.595196444E-1	1.595644118E-1
1.792186875E0	7.116201919E-3	-3.224785114E-3	-1.530830294E-1	1.532822673E-1
1.802196875E0	-2.183565598E-3	-1.881560907E-3	-1.553283602E-1	1.553551020E-1
1.812236875E0	-4.652930992E-3	-1.330771465E-3	-1.608662581E-1	1.609390373E-1
1.822276875E0	1.124284810E-2	-5.471796999E-3	-1.529321712E-1	1.534424687E-1
1.832317875E0	5.737259447E-3	-8.683937509E-3	-1.565241158E-1	1.568697732E-1
1.842357875E0	7.927608158E-3	-1.068680073E-2	-1.607148153E-1	1.612647095E-1
1.852367875E0	4.585758818E-3	-8.587558949E-3	-1.502366048E-1	1.505516947E-1
1.862407875E0	2.352747417E-3	-4.825305082E-3	-1.466440755E-1	1.467423043E-1
1.872447875E0	6.381061873E-3	2.774485555E-3	-1.506856710E-1	1.508462368E-1
1.882488875E0	-6.398504163E-5	-4.572705366E-5	-1.482894820E-1	1.482895029E-1
1.892528875E0	1.318368401E-3	-5.434301728E-3	-1.592167586E-1	1.593149270E-1
1.902568875E0	1.952830985E-3	-1.027191337E-3	-1.493378878E-1	1.493541877E-1
1.912578875E0	-3.021480452E-3	5.700075952E-3	-1.608639193E-1	1.609932319E-1
1.922618875E0	-6.520399195E-4	-6.016656999E-3	-1.511347371E-1	1.512558564E-1
